			Id(Bk)Syl1	Id(Bk)	*F3	*B1	*B2
	aoE		 1 	 2 			 1 
	aOe		 1 	 2 	 1 		
	aOE		 1 	 3 	 1 		 1 
Aoi	Aoi	 1 			 1 		
	AoI			 1 	 1 	 1 	 1 
	AOi			 1 	 2 		
	AOI			 2 	 2 	 1 	 1 
	aoi		 1 	 1 			
	aoI		 1 	 2 		 1 	 1 
	aOi		 1 	 2 	 1 		
	aOI		 1 	 3 	 1 	 1 	 1 
Aoo	Aoo	 1 			 1 		
	AoO			 1 	 2 		
	AOO			 2 	 3 		
	aoo		 1 	 1 			
	aoO		 1 	 2 	 1 		
	aOO		 1 	 3 	 2 		
Aoa	Aoa	 1 			 1 		
	AoA			 1 	 2 		
	AOA			 2 	 3 		
	aoa		 1 	 1 			
	aoA		 1 	 2 	 1 		
	aOA		 1 	 3 	 2 		
Aou	Aou	 1 			 1 		
	Aoy			 1 	 2 		
	AOy			 2 	 3 		
	aou		 1 	 1 			
	aoy		 1 	 2 	 1 		
	aOy		 1 	 3 	 2 		
Aae	Aae	 1 			 1 		
	AaE			 1 	 1 		 1 
	AAe			 1 	 2 		
	AAE			 2 	 2 		 1 
	aae		 1 	 1 			
	aaE		 1 	 2 			 1 
	aAe		 1 	 2 	 1 		
	aAE		 1 	 3 	 1 		 1 
Aai	Aai	 1 			 1 		
	AaI			 1 	 1 	 1 	 1 
	AAi			 1 	 2 		
	AAI			 2 	 2 	 1 	 1 
	aai		 1 	 1 			
	aaI		 1 	 2 		 1 	 1 
	aAi		 1 	 2 	 1 		
	aAI		 1 	 3 	 1 	 1 	 1 
Aao	Aao	 1 			 1 		
	AaO			 1 	 2 		
	AAO			 2 	 3 		
	aao		 1 	 1 			
	aaO		 1 	 2 	 1 		
	aAO		 1 	 3 	 2 		
Aaa	Aaa	 1 			 1 		
	AaA			 1 	 2 		
	AAA			 2 	 3 		
	aaa		 1 	 1 			
	aaA		 1 	 2 	 1 		
	aAA		 1 	 3 	 2 		
Aau	Aau	 1 			 1 		
	Aay			 1 	 2 		
	AAy			 2 	 3 		
	aau		 1 	 1 			
	aay		 1 	 2 	 1 		
	aAy		 1 	 3 	 2 		
Aue	Aue	 1 			 1 		
	AuE			 1 	 1 		 1 
	Aye			 1 	 2 		
	AyE			 2 	 2 		 1 
	aue		 1 	 1 			
	auE		 1 	 2 			 1 
	aye		 1 	 2 	 1 		
	ayE		 1 	 3 	 1 		 1 
Aui	Aui	 1 			 1 		
	AuI			 1 	 1 	 1 	 1 
	Ayi			 1 	 2 		
	AyI			 2 	 2 	 1 	 1 
	aui		 1 	 1 			
	auI		 1 	 2 		 1 	 1 
	ayi		 1 	 2 	 1 		
	ayI		 1 	 3 	 1 	 1 	 1 
Auo	Auo	 1 			 1 		
	AuO			 1 	 2 		
	AyO			 2 	 3 		
	auo		 1 	 1 			
	auO		 1 	 2 	 1 		
	ayO		 1 	 3 	 2 		
Aua	Aua	 1 			 1 		
	AuA			 1 	 2 		
	AyA			 2 	 3 		
	aua		 1 	 1 			
	auA		 1 	 2 	 1 		
	ayA		 1 	 3 	 2 		
Auu	Auu	 1 			 1 		
	Auy			 1 	 2 		
	Ayy			 2 	 3 		
	auu		 1 	 1 			
	auy		 1 	 2 	 1 		
	ayy		 1 	 3 	 2 		
yee	yee	 1 			 1 		
	yeE			 1 	 1 		 1 
	yEE			 2 	 1 		 2 
	uee		 1 	 1 			
	ueE		 1 	 2 			 1 
	uEE		 1 	 3 			 2 
yei	yei	 1 			 1 		
	yeI			 1 	 1 	 1 	 1 
	yEi			 1 	 1 		 1 
	yEI			 2 	 1 	 1 	 2 
	uei		 1 	 1 			
	ueI		 1 	 2 		 1 	 1 
	uEi		 1 	 2 			 1 
	uEI		 1 	 3 		 1 	 2 
yeo	yeo	 1 			 1 		
	yeO			 1 	 2 		
	yEo			 1 	 1 		 1 
	yEO			 2 	 2 		 1 
	ueo		 1 	 1 			
	ueO		 1 	 2 	 1 		
	uEo		 1 	 2 			 1 
	uEO		 1 	 3 	 1 		 1 
yea	yea	 1 			 1 		
	yeA			 1 	 2 		
	yEa			 1 	 1 		 1 
	yEA			 2 	 2 		 1 
	uea		 1 	 1 			
	ueA		 1 	 2 	 1 		
	uEa		 1 	 2 			 1 
	uEA		 1 	 3 	 1 		 1 
yeu	yeu	 1 			 1 		
	yey			 1 	 2 		
	yEu			 1 	 1 		 1 
	yEy			 2 	 2 		 1 
	ueu		 1 	 1 			
	uey		 1 	 2 	 1 		
	uEu		 1 	 2 			 1 
	uEy		 1 	 3 	 1 		 1 
yie	yie	 1 			 1 		
	yiE			 1 	 1 		 1 
	yIe			 1 	 1 	 1 	 1 
	yIE			 2 	 1 	 1 	 2 
	uie		 1 	 1 			
	uiE		 1 	 2 			 1 
	uIe		 1 	 2 		 1 	 1 
	uIE		 1 	 3 		 1 	 2 
yii	yii	 1 			 1 		
	yiI			 1 	 1 	 1 	 1 
	yII			 2 	 1 	 2 	 2 
	uii		 1 	 1 			
	uiI		 1 	 2 		 1 	 1 
	uII		 1 	 3 		 2 	 2 
yio	yio	 1 			 1 		
	yiO			 1 	 2 		
	yIo			 1 	 1 	 1 	 1 
	yIO			 2 	 2 	 1 	 1 
	uio		 1 	 1 			
	uiO		 1 	 2 	 1 		
	uIo		 1 	 2 		 1 	 1 
	uIO		 1 	 3 	 1 	 1 	 1 
yia	yia	 1 			 1 		
	yiA			 1 	 2 		
	yIa			 1 	 1 	 1 	 1 
	yIA			 2 	 2 	 1 	 1 
	uia		 1 	 1 			
	uiA		 1 	 2 	 1 		
	uIa		 1 	 2 		 1 	 1 
	uIA		 1 	 3 	 1 	 1 	 1 
yiu	yiu	 1 			 1 		
	yiy			 1 	 2 		
	yIu			 1 	 1 	 1 	 1 
	yIy			 2 	 2 	 1 	 1 
	uiu		 1 	 1 			
	uiy		 1 	 2 	 1 		
	uIu		 1 	 2 		 1 	 1 
	uIy		 1 	 3 	 1 	 1 	 1 
yoe	yoe	 1 			 1 		
	yoE			 1 	 1 		 1 
	yOe			 1 	 2 		
	yOE			 2 	 2 		 1 
	uoe		 1 	 1 			
	uoE		 1 	 2 			 1 
	uOe		 1 	 2 	 1 		
	uOE		 1 	 3 	 1 		 1 
yoi	yoi	 1 			 1 		
	yoI			 1 	 1 	 1 	 1 
	yOi			 1 	 2 		
	yOI			 2 	 2 	 1 	 1 
	uoi		 1 	 1 			
	uoI		 1 	 2 		 1 	 1 
	uOi		 1 	 2 	 1 		
	uOI		 1 	 3 	 1 	 1 	 1 
yoo	yoo	 1 			 1 		
	yoO			 1 	 2 		
	yOO			 2 	 3 		
	uoo		 1 	 1 			
	uoO		 1 	 2 	 1 		
	uOO		 1 	 3 	 2 		
yoa	yoa	 1 			 1 		
	yoA			 1 	 2 		
	yOA			 2 	 3 		
	uoa		 1 	 1 			
	uoA		 1 	 2 	 1 		
	uOA		 1 	 3 	 2 		
you	you	 1 			 1 		
	yoy			 1 	 2 		
	yOy			 2 	 3 		
	uou		 1 	 1 			
	uoy		 1 	 2 	 1 		
	uOy		 1 	 3 	 2 		
yae	yae	 1 			 1 		
	yaE			 1 	 1 		 1 
	yAe			 1 	 2 		
	yAE			 2 	 2 		 1 
	uae		 1 	 1 			
	uaE		 1 	 2 			 1 
	uAe		 1 	 2 	 1 		
	uAE		 1 	 3 	 1 		 1 
yai	yai	 1 			 1 		
	yaI			 1 	 1 	 1 	 1 
	yAi			 1 	 2 		
	yAI			 2 	 2 	 1 	 1 
	uai		 1 	 1 			
	uaI		 1 	 2 		 1 	 1 
	uAi		 1 	 2 	 1 		
	uAI		 1 	 3 	 1 	 1 	 1 
yao	yao	 1 			 1 		
	yaO			 1 	 2 		
	yAO			 2 	 3 		
	uao		 1 	 1 			
	uaO		 1 	 2 	 1 		
	uAO		 1 	 3 	 2 		
yaa	yaa	 1 			 1 		
	yaA			 1 	 2 		
	yAA			 2 	 3 		
	uaa		 1 	 1 			
	uaA		 1 	 2 	 1 		
	uAA		 1 	 3 	 2 		
yau	yau	 1 			 1 		
	yay			 1 	 2 		
	yAy			 2 	 3 		
	uau		 1 	 1 			
	uay		 1 	 2 	 1 		
	uAy		 1 	 3 	 2 		
yue	yue	 1 			 1 		
	yuE			 1 	 1 		 1 
	yye			 1 	 2 		
	yyE			 2 	 2 		 1 
	uue		 1 	 1 			
	uuE		 1 	 2 			 1 
	uye		 1 	 2 	 1 		
	uyE		 1 	 3 	 1 		 1 
yui	yui	 1 			 1 		
	yuI			 1 	 1 	 1 	 1 
	yyi			 1 	 2 		
	yyI			 2 	 2 	 1 	 1 
	uui		 1 	 1 			
	uuI		 1 	 2 		 1 	 1 
	uyi		 1 	 2 	 1 		
	uyI		 1 	 3 	 1 	 1 	 1 
yuo	yuo	 1 			 1 		
	yuO			 1 	 2 		
	yyO			 2 	 3 		
	uuo		 1 	 1 			
	uuO		 1 	 2 	 1 		
	uyO		 1 	 3 	 2 		
yua	yua	 1 			 1 		
	yuA			 1 	 2 		
	yyA			 2 	 3 		
	uua		 1 	 1 			
	uuA		 1 	 2 	 1 		
	uyA		 1 	 3 	 2 		
yuu	yuu	 1 			 1 		
	yuy			 1 	 2 		
	yyy			 2 	 3 		
	uuu		 1 	 1 			
	uuy		 1 	 2 	 1 		
	uyy		 1 	 3 	 2 		
eee	eee	 1 					
	eeE			 1 			 1 
	eEE			 2 			 2 
	Eee		 1 	 1 			 1 
	EeE		 1 	 2 			 2 
	EEE		 1 	 3 			 3 
eei	eei	 1 					
	eeI			 1 		 1 	 1 
	eEi			 1 			 1 
	eEI			 2 		 1 	 2 
	Eei		 1 	 1 			 1 
	EeI		 1 	 2 		 1 	 2 
	EEi		 1 	 2 			 2 
	EEI		 1 	 3 		 1 	 3 
eeo	eeo	 1 					
	eeO			 1 	 1 		
	eEo			 1 			 1 
	eEO			 2 	 1 		 1 
	Eeo		 1 	 1 			 1 
	EeO		 1 	 2 	 1 		 1 
	EEo		 1 	 2 			 2 
	EEO		 1 	 3 	 1 		 2 
eea	eea	 1 					
	eeA			 1 	 1 		
	eEa			 1 			 1 
	eEA			 2 	 1 		 1 
	Eea		 1 	 1 			 1 
	EeA		 1 	 2 	 1 		 1 
	EEa		 1 	 2 			 2 
	EEA		 1 	 3 	 1 		 2 
eeu	eeu	 1 					
	eey			 1 	 1 		
	eEu			 1 			 1 
	eEy			 2 	 1 		 1 
	Eeu		 1 	 1 			 1 
	Eey		 1 	 2 	 1 		 1 
	EEu		 1 	 2 			 2 
	EEy		 1 	 3 	 1 		 2 
eie	eie	 1 					
	eiE			 1 			 1 
	eIe			 1 		 1 	 1 
	eIE			 2 		 1 	 2 
	Eie		 1 	 1 			 1 
	EiE		 1 	 2 			 2 
	EIe		 1 	 2 		 1 	 2 
	EIE		 1 	 3 		 1 	 3 
eii	eii	 1 					
	eiI			 1 		 1 	 1 
	eII			 2 		 2 	 2 
	Eii		 1 	 1 			 1 
	EiI		 1 	 2 		 1 	 2 
	EII		 1 	 3 		 2 	 3 
eio	eio	 1 					
	eiO			 1 	 1 		
	eIo			 1 		 1 	 1 
	eIO			 2 	 1 	 1 	 1 
	Eio		 1 	 1 			 1 
	EiO		 1 	 2 	 1 		 1 
	EIo		 1 	 2 		 1 	 2 
	EIO		 1 	 3 	 1 	 1 	 2 
eia	eia	 1 					
	eiA			 1 	 1 		
	eIa			 1 		 1 	 1 
	eIA			 2 	 1 	 1 	 1 
	Eia		 1 	 1 			 1 
	EiA		 1 	 2 	 1 		 1 
	EIa		 1 	 2 		 1 	 2 
	EIA		 1 	 3 	 1 	 1 	 2 
eiu	eiu	 1 					
	eiy			 1 	 1 		
	eIu			 1 		 1 	 1 
	eIy			 2 	 1 	 1 	 1 
	Eiu		 1 	 1 			 1 
	Eiy		 1 	 2 	 1 		 1 
	EIu		 1 	 2 		 1 	 2 
	EIy		 1 	 3 	 1 	 1 	 2 
eoe	eoe	 1 					
	eoE			 1 			 1 
	eOe			 1 	 1 		
	eOE			 2 	 1 		 1 
	Eoe		 1 	 1 			 1 
	EoE		 1 	 2 			 2 
	EOe		 1 	 2 	 1 		 1 
	EOE		 1 	 3 	 1 		 2 
eoi	eoi	 1 					
	eoI			 1 		 1 	 1 
	eOi			 1 	 1 		
	eOI			 2 	 1 	 1 	 1 
	Eoi		 1 	 1 			 1 
	EoI		 1 	 2 		 1 	 2 
	EOi		 1 	 2 	 1 		 1 
	EOI		 1 	 3 	 1 	 1 	 2 
eoo	eoo	 1 					
	eoO			 1 	 1 		
	eOO			 2 	 2 		
	Eoo		 1 	 1 			 1 
	EoO		 1 	 2 	 1 		 1 
	EOO		 1 	 3 	 2 		 1 
eoa	eoa	 1 					
	eoA			 1 	 1 		
	eOA			 2 	 2 		
	Eoa		 1 	 1 			 1 
	EoA		 1 	 2 	 1 		 1 
	EOA		 1 	 3 	 2 		 1 
eou	eou	 1 					
	eoy			 1 	 1 		
	eOy			 2 	 2 		
	Eou		 1 	 1 			 1 
	Eoy		 1 	 2 	 1 		 1 
	EOy		 1 	 3 	 2 		 1 
eae	eae	 1 					
	eaE			 1 			 1 
